REGIMEN_LABORAL;CARGO;REMUNERACION MENSUAL;BENEFICIOS;female;male
3;1;9499;0;0;1
3;4;9499;0;0;1
3;4;3082;0;0;1
3;4;5297;0;1;0
3;4;5297;0;1;0
3;4;5297;93;1;0
3;4;11621;93;1;0
3;3;2598;0;0;1
3;4;3669;93;0;1
3;3;3082;0;0;1
3;4;3082;0;1;0
3;4;3669;0;1;0
3;4;3669;0;0;1
3;4;7789;0;1;0
3;3;3082;0;0;1
3;5;3669;0;0;1
3;3;3082;0;0;1
3;4;7789;0;0;1
3;1;9499;0;0;1
3;1;7789;93;0;1
3;3;3669;0;0;1
3;2;14500;0;0;1
3;4;3082;93;1;0
3;4;4390;0;1;0
3;5;4390;464;1;0
3;4;4390;0;1;0
3;6;3669;93;0;1
3;4;2979.27;0;1;0
3;4;5297;0;1;0
3;4;14237;93;0;1
3;4;4390;0;1;0
3;4;4390;0;1;0
3;4;6409;0;1;0
3;3;2054.67;0;1;0
3;4;3082;0;1;0
3;4;9499;93;0;1
3;4;4390;0;1;0
3;4;6409;0;0;1
3;5;3669;0;1;0
3;4;3669;4213;1;0
3;5;6409;0;1;0
3;4;5297;0;1;0
3;3;3082;93;0;1
3;5;6409;93;1;0
3;4;3669;0;1;0
3;4;5297;0;1;0
3;4;3669;93;0;1
3;2;6409;8184;1;0
3;4;9499;93;1;0
3;4;5297;0;1;0
3;4;4390;0;1;0
3;4;5297;0;0;1
3;4;5297;0;1;0
3;6;3669;0;0;1
3;4;4390;93;0;1
3;4;14237;0;0;1
3;3;3082;0;1;0
3;4;3669;0;1;0
3;4;6409;0;0;1
3;3;2598;0;0;1
3;4;11621;0;1;0
3;4;3669;0;1;0
3;3;2598;0;0;1
3;5;4390;0;1;0
3;4;9499;0;1;0
3;4;14237;0;0;1
3;4;4390;0;0;1
3;3;2511.4;0;0;1
3;4;14237;93;0;1
3;1;7789;0;0;1
3;4;4390;0;0;1
3;5;3669;0;1;0
3;4;3669;0;0;1
3;4;4390;0;0;1
3;4;4390;0;1;0
3;4;3669;0;0;1
3;3;4390;93;0;1
3;3;2598;0;1;0
3;4;6409;0;0;1
3;4;4390;0;1;0
3;5;2598;0;0;1
3;4;6409;93;1;0
3;1;14237;0;1;0
3;4;3669;0;0;1
3;4;4390;0;0;1
3;4;7789;0;0;1
3;5;5297;0;1;0
3;4;3669;0;0;1
3;4;7789;0;1;0
3;4;4390;0;1;0
3;4;3669;0;0;1
3;4;6409;0;0;1
3;6;3669;0;0;1
3;2;14500;0;0;1
3;4;9499;0;1;0
3;3;4390;0;0;1
3;1;9499;0;0;1
3;3;3082;0;1;0
3;3;2598;0;1;0
3;2;4243.67;0;0;1
3;3;2598;0;0;1
3;3;2598;0;0;1
3;3;2598;0;1;0
3;4;2648.5;0;0;1
3;4;14237;93;1;0
3;4;9499;0;0;1
3;4;3804.67;93;1;0
3;1;7789;0;1;0
3;4;3082;0;0;1
3;4;2648.5;0;0;1
3;4;14237;0;1;0
3;4;6409;93;0;1
3;3;3082;93;0;1
3;4;4390;93;0;1
3;4;14237;93;1;0
3;4;4390;93;0;1
3;3;2598;0;0;1
3;4;5297;93;1;0
3;2;11621;0;0;1
3;4;3669;0;0;1
3;4;9499;0;0;1
3;4;5297;0;0;1
3;4;14237;0;1;0
3;5;5297;93;0;1
3;3;1299;0;0;1
3;4;4390;0;0;1
3;1;9499;0;0;1
3;1;9499;93;0;1
3;1;9499;0;1;0
3;6;3669;93;0;1
3;4;5297;0;1;0
3;3;2598;0;1;0
3;5;7789;0;1;0
3;4;5297;93;0;1
3;1;9499;0;0;1
3;4;5297;0;1;0
3;3;3082;0;0;1
3;1;11621;0;0;1
3;5;6409;93;0;1
3;4;3082;0;0;1
3;4;5120.43;0;0;1
3;4;5297;93;0;1
3;3;2598;93;0;1
3;4;4390;93;0;1
3;4;9499;0;0;1
3;3;3082;0;0;1
3;4;9499;0;0;1
3;4;4390;0;1;0
